title,five_yr_bin,year_publication,authors,journal,volume_pages,sampling_start_date,sampling_end_date,study_area_grids,preferential_hemisphere,preferential_habitat,method,sampling_protocol,type_of_count,attraction_bias,continuous_time,n_snapshot,dist_boat,ship_speed,height_above_water,n_sides,n_observers,on_water_only,ship_followers,other_taxa_recorded,database_or_project,study_purpose,stats_technique,obs
"Influence of hydrography, fishing activity, and colony location on summer seabird distribution in the south-eastern North Sea",1996_2000,1997,Garthe,ICES J Mar Sci,54:566-577,07-1993,07-1994,229,north,oceanic,distance_sampling,buckland,continuous,none_assumed,uninterrupted,NA,unlimited,not specified,not specified,1-2,1-2,no,not specified,NA,None,"community_ecology, distribution","hypothesis_testing, modelling, multivariate",Snapshot for flying birds and distance sampling for birds on the water.
Offshore distribution of seabirds in the northwestern Mediterranean in June 1995,1996_2000,1998,Abello and Oro,Colon Waterbirds,21:422-426,06-1995,06-1995,205,north,oceanic,count,other,radial,none_assumed,15min,NA,300-400m,0,5,4,not specified,not specified,NA,NA,None,distribution,qualitative,"Protocol: ""estimated minimum abundance"""
Olfactory foraging in Antarctic seabirds--a species speciﬁc attraction to krill odors,1996_2000,1999,Nevitt,MEPS,177:235-241,02-1993,03-1993,33,south,oceanic,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,100m,not specified,not specified,1,1,not specified,not specified,NA,AMLR/NOAA,natural_history,"qualitative, hypothesis_testing",behaviour experiment (odor attraction)
Olfactory foraging in Antarctic seabirds--a species speciﬁc attraction to krill odors,1996_2000,1999,Nevitt,MEPS,177:235-241,02-1993,03-1993,33,south,oceanic,count,other,radial,chumming,NA,every 1min x 6,300m,0,not specified,2,2,no,NA,NA,AMLR/NOAA,natural_history,"qualitative, hypothesis_testing",behaviour experiment (odor attraction)
Seabirds of the Panama Bight,1996_2000,1999,Spear and Ainley,Waterbirds,22:175-198,1984,1991,151,north,oceanic,strip_transect,spear,continuous,none_assumed,uninterrupted,NA,500m,not specified,14,1,2-3,no,not specified,NA,None,"community_ecology, distribution","hypothesis_testing, modelling, multivariate",
"Summer food resources of the little auk, Alle alle (L) in the European Arctic seas",1996_2000,1999,Weslawski et al,Polish Polar Res,20:327-403,1991,1995,252,north,oceanic,strip_transect,tasker,not specified,none_assumed,not specified,not specified,300m,not specified,not specified,1,1,not specified,not specified,NA,None,"distribution, predator_prey",qualitative,
Scale‐dependent predator–prey interactions--the hierarchical spatial distribution of seabirds and prey,1996_2000,2000,Fauchald et al,Ecology,81:773-783,02-1993,03-1993,254,north,oceanic,strip_transect,other,continuous,research_fishing,uninterrupted,NA,300m,10,12,1,not specified,yes,not specified,NA,None,"predator_prey, ecology","spatial_stats, modelling, hypothesis_testing",
"Distribution, abundance and associations of seabirds in the Beagle Channel, Tierra del Fuego, Argentina",1996_2000,2000,Raya Rey and Schiavini,Polar Biol,23:338-345,02-1997,03-1997,56,south,coastal,strip_transect,tasker,continuous,none_assumed,10min,NA,300m,12,11,1,1,no,recorded only at the first sight,NA,None,"distribution, community_ecology","hypothesis_testing, multivariate, modelling","The authors mention using Tasker protocol to collect the data, but calculated densities using the DISTANCE software. However, they do not provide much information on how they specified/collected bird distances to run DISTANCE. Therefore I have assumed Tasker et al as the protocol"
Variability in foraging in response to changing prey distributions in rhinoceros auklets,1996_2000,2000,Davoren,MEPS,198:283-291,05-1996,08-1997,220,north,coastal,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,150m,10,not specified,2,1,no,NA,NA,None,predator_prey,"hypothesis_testing, spatial_stats",
"A large mid-winter observation of Bonapartes gulls, Larus philadelphia, in Head Harbour Passage, New Brunswick",1996_2000,2000,Huettmann et al,Canadian Field-Naturalist,114:327-330,12-1998,01-1999,200,north,coastal,count,other,continuous,none_assumed,uninterrupted,NA,not specified,6,not specified,4,not specified,no,not specified,NA,None,distribution,qualitative,
